Data Source,World Development Indicators,,,,,,,,,,,
,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2004,2005,2006,2007,2008,2009,2010,2011,2012
Canada,CAN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,184.6418472,197.8406818,206.3269169,211.5726852,217.0848102,215.3826426,217.2671971,206.5060854,204.7736518
East Asia and the Pacific (IFC classification),CEA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Central Europe and the Baltics,CEB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,36.91686416,41.34846423,44.6506231,50.18083686,54.10382769,55.55992008,56.73879202,60.56935889,60.64394221
Europe and Central Asia (IFC classification),CEU,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Switzerland,CHE,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,87.37510615,89.17108391,91.25123755,93.19569032,94.13575614,94.89348796,95.98456782,98.89823879,99.18962799
Channel Islands,CHI,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Chile,CHL,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,33.21166222,39.21158659,43.14927284,48.6202401,54.53720008,57.50492498,61.40691085,64.36113711,67.27913204
China,CHN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,9.625741282,11.9758876,15.55425268,19.77475749,24.75629532,30.28928395,37.51292005
Cote d'Ivoire,CIV,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,3.662730932,4.440741469,4.783623578
Latin America and the Caribbean (IFC classification),CLA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Middle East and North Africa (IFC classification),CME,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Cameroon,CMR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.310365225,0.575410692,0.665127208,0.86109826,1.182317192,1.443416489,1.717452009,2.296901362,2.581918319
"Congo, Rep.",COG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.495312262,0.530715395,0.609446868,0.682103624,1.146314018,1.412310296,1.998436224,2.476427254,2.963593272
Colombia,COL,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,26.96084268,28.57704258,34.74492726,32.29797046,35.76833871
Comoros,COM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.583270631,0.569409596,0.556173543,0.543478254,1.0622364,1.556606023,3.292881525,7.167094636,7.470527668
Cabo Verde,CPV,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,19.57113128,27.00247152,33.76930459,36.90319602,41.68304919,43.66904534,45.60336444
Costa Rica,CRI,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,26.18266559,28.78527145,31.79619509,36.45603286,38.80395203,42.42548516,44.18563864,52.76275244,54.66488901
South Asia (IFC classification),CSA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Caribbean small states,CSS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,18.30615681,20.21293533,22.56394379,22.76904738,27.6924853,29.23577478,30.04540163,30.75171296,31.12521548
Cuba,CUB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Curacao,CUW,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Cayman Islands,CYM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Cyprus,CYP,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,55.06948658,56.86940006,64.2104778,63.41352981,66.34739287,70.23573275,72.28060734,75.72338575,64.04471809
Czech Republic,CZE,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,31.75914302,34.51365529,37.4362101,37.94695513,38.07405411,39.64051489,41.36966507,43.42860322,45.31584366
Germany,DEU,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,106.9571756,109.7253733,112.1307471,116.4761458,118.7694374,
Djibouti,DJI,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.816326531,0.804828974,0.992063492,0.978473581,1.158301158,2.281368821,2.996254682,3.32103321,4.363636364
Dominica,DMA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,22.82286098,24.66816048,24.46924822,20.24246119,24.12290583,39.91523259,53.45529993,51.02012223,50.53717277
Denmark,DNK,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,67.06834761,68.16653871,69.92337893,70.41659011,68.74359239,65.19481159,63.1853756,61.03733901,59.0937529
Dominican Republic,DOM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,18.79730857,23.69622843,24.11613366,25.80445785,26.31116802,27.15732259,28.03840642,29.5394535,30.73188527
Algeria,DZA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,1.232975893,1.461438466,2.317001491,3.605916207,4.068907534,5.158500747,5.738327084,6.130130972,5.796526863
East Asia & Pacific (developing only),EAP,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,9.505113839,9.413219938,9.625741282,11.66265038,10.90208012,14.35153209,14.39190888,17.00780094,20.23332268
East Asia & Pacific (all income levels),EAS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,26.83534885,28.37980686,20.19350685,25.51311822,13.39025325,14.9096004,21.57527134,30.77196608,36.98988093
Europe & Central Asia (developing only),ECA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,9.950001132,10.64153234,16.47471589,23.08007309,30.03959742,37.16564641,37.97149974,41.86136397,46.01111843
Europe & Central Asia (all income levels),ECS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,38.18297014,39.54116265,42.26073484,50.18083686,59.18770207,57.55897347,56.73879202,58.84386321,56.68114284
Ecuador,ECU,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,3.101290864,5.032553921,8.238116934,23.46950322,27.1402655,30.74638097,35.98329565,41.91711828,43.57161331
"Egypt, Arab Rep.",EGY,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,2.661068946,3.362159455,4.462414447,5.455831068,6.509824713,7.729287294,8.680194831,9.270370533,10.57682633
Euro area,EMU,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,82.5550549,83.51316488,83.00847942,90.76519355,97.32810697,94.05321344,92.12081936,91.77453938,84.71416454
Eritrea,ERI,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Spain,ESP,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,146.8566761,149.8656292,153.3321448,158.9262088,158.1343956,153.6841964,151.3217896,149.2491005,138.1480427
Estonia,EST,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,68.43398027,73.74741514,80.47274868,87.74258047,89.46572271,88.57348637,88.37746425,87.21583489,82.70877347
Ethiopia,ETH,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.020143675,0.019526961,0.0307375,0.041198811,0.068632065,0.098423997,0.299585274,0.318961248,0.463300214
European Union,EUU,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,63.27290729,65.58420661,69.92337893,77.66828907,83.12009479,86.63292831,82.6004251,81.46961032,66.53708084
Fragile and conflict affected situations,FCS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,0.63341488,1.027067411,1.361170649,1.526166818,2.115753467,1.826110183,2.085228381
Finland,FIN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,111.2782939,107.9021554,104.4940697,101.4571094,100.0310502,91.65632292,36.98040251,36.02471479,35.33296005
Fiji,FJI,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,19.04363139,19.4499689,21.05995808,22.46031302,25.84720942,27.17441393,33.07495571,36.27906374,36.76494406
France,FRA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,85.60112931,92.88794986,92.17413204,99.90891321,101.5313606,104.007944,105.9270547,108.929227,109.0033818
Faeroe Islands,FRO,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,2.987564729,2.959061386,2.934110516,2.9113936,2.889307218,2.865359836,8.514019753,8.420987023,14.03497837
Gabon,GAB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.611239017,5.4628066,5.882058639,6.384159175,6.636872305,7.721392199,9.367421139,10.83169789,12.23580687
United Kingdom,GBR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,117.9388363,121.3533022,126.358939,126.2216635,121.8590683,122.7761755,124.2821704,
Georgia,GEO,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,1.945251644,5.197972148,12.09228802,23.08007309,36.6346488,37.16564641,40.37548821,41.86136397,51.6058779
Ghana,GHA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,3.835075023,3.878872699,3.929464311,4.066113414,5.469690463
Guinea,GIN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
"Gambia, The",GMB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Guinea-Bissau,GNB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,1.461720355,1.426735208,2.085228381
Equatorial Guinea,GNQ,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0,0,0,1.03384124,3.253240336,3.152095901,3.995346596,7.520054459,7.747934897
Greece,GRC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,65.58420661,69.82309413,75.26350865,78.7881625,78.46742198,76.82338595,73.07235458,71.18778961
Grenada,GRD,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,35.25794755,37.48698382,38.35668938,41.98152863,45.58862983,47.84116692,51.39694276,49.68489269,45.43035543
Greenland,GRL,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Guatemala,GTM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,21.1269819,23.0359111,25.27769532,27.25071068,28.70131886
Guam,GUM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Guyana,GUY,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,12.44273711,13.05761735,13.253728,13.85668881,14.02735724,14.37064744,15.27899479,15.11581742,15.90846226
High income,HIC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,67.06834761,65.58420661,70.66425119,80.07306949,83.06131139,78.46742198,72.28060734,75.72338575,68.23593715
"Hong Kong SAR, China",HKG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,46.36584573,49.35195684,
Honduras,HND,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,4.663088022,6.261680391,8.112065282,11.23108856,14.24756778,16.82382108,17.54212593,23.0728759,23.62111557
Heavily indebted poor countries (HIPC),HPC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,1.027067411,1.228486128,1.484791654,1.857944116,2.581839832,3.365809794
Croatia,HRV,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,61.82379987,70.66425119,80.07306949,89.2572674,96.14087087,101.3896325,109.4366122,111.6707707
Haiti,HTI,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,0.458958438,0.449926941,0.440933332
Hungary,HUN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,38.70866318,41.42907496,44.6506231,50.18083686,54.10382769,55.55992008,56.73879202,57.62711413,56.44371101
Indonesia,IDN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,8.640411419,9.413219938,10.64081163,11.66265038,13.36812411,14.39679644,13.28952314,16.78810123,36.4668418
Isle of Man,IMN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
India,IND,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,2.295224935,2.742145426,3.38114306,4.291000725,5.31487926,7.274236546,8.857461539,11.20972521
Not classified,INX,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Ireland,IRL,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,90.79379651,89.1168575,90.29164325,93.78780663,97.19380002,96.45010396,92.59754137,90.43084662,86.71955561
"Iran, Islamic Rep.",IRN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,4.434182093,8.408669327,13.77635677,17.95472546,23.07966057,30.05709743,35.68009884,46.06596091
Iraq,IRQ,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,0.669550248,1.149912155,2.115753467,2.08848181,
Iceland,ISL,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,106.6401354,,,107.1761029,101.6764925,81.9623423,81.50859745,75.98731062,73.66713392
Israel,ISR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,68.84484452,58.14267172,76.93795466,81.50465086,87.33446027,101.0642756,107.1556031,111.1010382,116.4015395
Italy,ITA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,73.58927479,74.55796658,78.8312733,85.91270521,97.46241392,104.93179,97.97557323,99.33593402,97.11142601
Jamaica,JAM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,18.30615681,20.21293533,22.56394379,22.76904738,24.13936924,24.96310978,25.82455166,26.74627605,26.65238231
Jordan,JOR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,22.46752322,25.05316396,26.44091926,28.5114933,29.60654905,30.37051144
Japan,JPN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,124.3107878,123.8744459,124.231081,125.3814666,125.8049286,133.3117174,131.5693285,128.55911,127.7805161
Kazakhstan,KAZ,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,9.950001132,14.75373643,19.49281962,37.06067469,52.35606174,57.04046136,61.69899839,65.14113151,69.49458321
Kenya,KEN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,1.615941225,1.583761259,2.941846253,4.69739702,5.991227421,7.290169169,8.969523566,9.206551261,9.941405239
Kyrgyz Republic,KGZ,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.603965998,0.958214029,1.19095583,2.375987953,4.693550975,8.378384005,7.34710551,11.92268359,15.81051519
Cambodia,KHM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,0.011710628,0.727517355,1.30307435,3.630194018,4.247999457,5.116589782,5.872609383,6.662090961
Kiribati,KIR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,10.52014619,10.26874762
St. Kitts and Nevis,KNA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,65.29675485,69.6986864,76.69193702,72.66681941,81.99662236,
"Korea, Rep.",KOR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,209.1588533,213.0532467,219.1976431,235.1999484,242.7916686,248.1477816,266.5953363,282.493666,
Kosovo,KSV,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,7.337185108,8.242089344,10.88560454,16.6692988,23.29458988,28.47286632,30.94418586,32.15055465
Kuwait,KWT,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,29.61341636,34.44463418,40.29792283,48.24149777,54.27566971,57.28528532,57.42894788,59.98642501,69.19274226
Latin America & Caribbean (developing only),LAC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,18.79730857,22.39571466,24.00515602,25.5151503,26.78457616,27.15732259,28.66526962,30.11313497,33.16873502
Lao PDR,LAO,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,2.582415086,4.736285512,8.520008106,10.59658111,12.92207515
Lebanon,LBN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,31.86386981,32.7389183,33.94181183,35.25631107,36.66839905,37.76147904,38.79816899,39.11934983,41.32716945
Liberia,LBR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,1.155276392,1.526166818,1.471707728,1.4247579,1.341087081
Libya,LBY,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,3.632782575,3.555648039,3.556152758,3.531517339,3.583445715,3.664835945,3.589909415,3.598326469,3.96149883
St. Lucia,LCA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,30.25090967,29.57729837,30.53712308,33.02722696,32.24816972,30.00023089,44.49572775,45.96439936,
Latin America & Caribbean (all income levels),LCN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,20.7063195,22.9007241,24.11613366,25.57684584,27.05055409,28.92610862,33.90620558,32.29797046,35.60558476
Latin America and the Caribbean,LCR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Least developed countries: UN classification,LDC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,0.22823851,0.627629651,,1.49385517,1.733093817,2.076390372,2.980241326,3.832770674
Low income,LIC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,0.627629651,1.001275826,1.155276392,1.300513017,1.461720355,2.125495482,3.365809794
Liechtenstein,LIE,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Sri Lanka,LKA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,9.097296937,10.89023751,12.21667942,13.01925359,14.43102668,15.40713061
Lower middle income,LMC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,2.661068946,3.575017503,4.184078523,7.344088791,8.567255537,11.79299316,11.13866557,13.17685513,15.6088229
Low & middle income,LMY,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,3.101290864,4.9795728,7.869928119,11.44686947,12.67526437,14.35153209,13.69412818,16.11847575,19.20479329
Lesotho,LSO,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,2.878734619,3.787875551,3.905742599,4.937940942,5.770997091,6.654401892,7.343767368,8.080941172,9.170882866
Lithuania,LTU,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,35.65075818,37.16034242,40.30930877,46.91976374,51.77201146,54.41515904,56.14531118,47.78593698,48.44505335
Luxembourg,LUX,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,106.6833216,106.991851,105.5783087,105.9791676,107.3154737,107.0474674,105.6273653,106.2044042,100.9860533
Latvia,LVA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,44.46917041,44.54606858,48.41741619,58.48778641,65.17929978,67.87764169,70.55664978,63.2364225,66.53708084
"Macao SAR, China",MAC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,54.30999216,54.54613382,65.09673333,86.76243137,112.904601,129.9667309,138.2393849,152.1341495,178.7627862
St. Martin (French part),MAF,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Morocco,MAR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,8.30511305,14.78908885,12.798947,14.23865454,16.27802787,18.29631187,19.75898301,21.51261082,23.44806068
Mexico and Central America,MCA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
Monaco,MCO,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,
